premise	hypothesis	label
I am trying to persevere even though it is hard.	I'm trying to be persistent.	0
I am trying to persevere even though it is hard.	I'm really trying my best.	1
I am trying to persevere even though it is hard.	I'll let it go and forget about the past.	2
We find a gateway to the technology of the future.	We are building what is needed to prepare for the future of technology.	0
We find a gateway to the technology of the future.	We build transistors so that the future is driven by AI.	1
We find a gateway to the technology of the future.	We want to protect technological advances.	2
For example, in the end, all genes have a purple gene	Finally, the central portion of the gene changes to a purple color.	2
For example, in the end, all genes have a purple gene	Genetic changes in color occur naturally.	0
For example, in the end, all genes have a purple gene	Sometimes the blue color is genetic	1
Daniei Yamins is a talented young mathematician.	Mr. Yamins is an expert in mathematics.	0
Daniei Yamins is a talented young mathematician.	The goal of the Yamins is algebraic geometry.	1
Daniei Yamins is a talented young mathematician.	Mr. Yamins is a talented singer but is not at all good at math.	2
If so, are they likely to be near the border?	I know they don't travel near the border.	2
If so, are they likely to be near the border?	I want to know, are they usually in England?	1
If so, are they likely to be near the border?	The speaker wanted to know how close they were to the border.	0
I think there's a molecular theory that bioshere is constantly evolving in its life cycle in self-sustaining and self-sustaining.	The biosphere undergoes dramatic changes.	0
I think there's a molecular theory that bioshere is constantly evolving in its life cycle in self-sustaining and self-sustaining.	The biosphere changes with temperature.	1
I think there's a molecular theory that bioshere is constantly evolving in its life cycle in self-sustaining and self-sustaining.	The biosphere never changes.	2
With this leap, normal crystals cannot process much information.	Regular crystals are the vessels that store a wealth of information.	2
With this leap, normal crystals cannot process much information.	Ordinary crystals are useless storage vessels for information.	0
With this leap, normal crystals cannot process much information.	Some types of crystals are important in storing information about the planet's features using laser beams	1
Therefore, adults cannot pretend to teach young children, as they would when helping them to solve puzzles or other related tasks.	Preschoolers are born solving puzzles rather than role-playing games	2
Therefore, adults cannot pretend to teach young children, as they would when helping them to solve puzzles or other related tasks.	Preschoolers don't need much help in learning to fake it.	0
Therefore, adults cannot pretend to teach young children, as they would when helping them to solve puzzles or other related tasks.	Preschoolers do not have the ability to imitate rhyming patterns on their own.	1
[This country] was born in freedom and in the devotion that all men are born equal.	References to this proverb are recorded in many subsequent texts.	1
[This country] was born in freedom and in the devotion that all men are born equal.	Others believed that all people were equal.	0
[This country] was born in freedom and in the devotion that all men are born equal.	This world is founded on the belief that some people are born superior to others.	2
Should I commend him too much?	I'm sure I want to punish him for his mistake.	2
Should I commend him too much?	I'm wondering if he needs more praise from me.	0
Should I commend him too much?	Should I commend him too much for his encouragement of the piano?	1
The theory of spin networks can be developed in different fields.	Other aspects can be used to build the theory of Spin Networks.	0
The theory of spin networks can be developed in different fields.	Spin networks are widely used in information security technologies.	1
The theory of spin networks can be developed in different fields.	Spin networks cannot be considered in isolation.	2
(running) No, no, I don't want you to die!	I don't want you to die!	0
(running) No, no, I don't want you to die!	I don't care if you die!	2
(running) No, no, I don't want you to die!	I'd be mad if you died!	1
He was hanged publicly on March 19, 1875, in San Jose, California.	California had been legalizing lynching on the clark since 1875.	0
He was hanged publicly on March 19, 1875, in San Jose, California.	The charges against him were dropped and he was released.	2
He was hanged publicly on March 19, 1875, in San Jose, California.	He was hanged for inciting people to rebel against the rulers by stealing horses.	1
In the turmoil of power, a sea of greenery emerges.	The deep blue sea was as smooth as glass	2
In the turmoil of power, a sea of greenery emerges.	The sea was full of small fish that gathered on the boat	1
In the turmoil of power, a sea of greenery emerges.	The sea was green and seemed to overflow	0
A new constitution had been in the making since the persecution of the 1860's.	By the 1870's all laws had become obsolete and the land was no longer subject to them.	2
A new constitution had been in the making since the persecution of the 1860's.	It was a turbulent time in the 1860's.	0
A new constitution had been in the making since the persecution of the 1860's.	The new law sought to extend the rights of workers.	1
Another higher thought, he said, first emerges in social interactions, between the child and his representatives in his tribe when a labor union is formed.	Young children are incapable of high-minded thinking.	2
Another higher thought, he said, first emerges in social interactions, between the child and his representatives in his tribe when a labor union is formed.	Fishing is one of the most prestigious pursuits found in many cultures.	1
Another higher thought, he said, first emerges in social interactions, between the child and his representatives in his tribe when a labor union is formed.	Exchanging gestures sometimes helps to exchange high ideals.	0
Some communities had rezadores, or rezadoras, who were clergymen who led services at funerals or feasts of saints and whenever the priest was absent.	No community had a religious hierarchy that was not a priestly one.	2
Some communities had rezadores, or rezadoras, who were clergymen who led services at funerals or feasts of saints and whenever the priest was absent.	Some communities had clergymen who were not priests.	0
Some communities had rezadores, or rezadoras, who were clergymen who led services at funerals or feasts of saints and whenever the priest was absent.	Some of the religious leaders had black hair.	1
In role-playing games, there is an opportunity to play or combine roles to help children understand the similarities and differences in people's desires, thoughts, or feelings.	Young children can learn the similarities and differences between people.	0
In role-playing games, there is an opportunity to play or combine roles to help children understand the similarities and differences in people's desires, thoughts, or feelings.	Little children see the differences between races.	1
In role-playing games, there is an opportunity to play or combine roles to help children understand the similarities and differences in people's desires, thoughts, or feelings.	Young children do not learn anything.	2
The moral high ground at the end of the German war in the constitution, then, was in fact the right to fall to the Nazi regime.	The Nazi regime tolerated it.	2
The moral high ground at the end of the German war in the constitution, then, was in fact the right to fall to the Nazi regime.	The Nazi regime executed anyone who had taken part.	1
The moral high ground at the end of the German war in the constitution, then, was in fact the right to fall to the Nazi regime.	The Nazi regime came to an end.	0
Sonja began to imitate her daughters in uncontrollable outbursts of anger.	No one is an uncontrollable outburst of anger.	2
Sonja began to imitate her daughters in uncontrollable outbursts of anger.	Sonja is a child.	0
Sonja began to imitate her daughters in uncontrollable outbursts of anger.	Sonja was furious.	1
In six of the fifty years that led up to the war itself, the Court did not simply apply this law.	The court often used a decades-old leverage to bring them into conflict with one another.	0
In six of the fifty years that led up to the war itself, the Court did not simply apply this law.	The Court exercised this power four times over a period of 55 years, resulting in internal conflicts.	1
In six of the fifty years that led up to the war itself, the Court did not simply apply this law.	The Court has used this power five million times to turn them against each other.	2
I assure you, elders, that I have been fully briefed on this matter.	I am telling you that I have been given knowledge of everything.	0
I assure you, elders, that I have been fully briefed on this matter.	The death of the detective I was told about.	1
I assure you, elders, that I have been fully briefed on this matter.	There are many details that have been kept from me.	2
The sound engulfed Captain Blood in a deep sense of dissatisfaction.	Captain Blood was able to reflect on his dissatisfaction without interruption.	2
The sound engulfed Captain Blood in a deep sense of dissatisfaction.	Captain Blood's mind was distracted by the screams.	0
The sound engulfed Captain Blood in a deep sense of dissatisfaction.	A puppy's scream roused the Captain from his slumber.	1
But I do not forget that when I was being used as a slave in your grandparents' home in Barbados, they used me in a loving way,	You treated me well when I was a slave in Barbados.	0
But I do not forget that when I was being used as a slave in your grandparents' home in Barbados, they used me in a loving way,	You have been very cruel to me and have treated me like dirt.	2
But I do not forget that when I was being used as a slave in your grandparents' home in Barbados, they used me in a loving way,	Your grandfather used to beat me a lot when he was my master.	1
There, less than three miles from here, was the land - a patch of green that would fill the side of the slope.	A grassy, wooded country lay ahead.	0
There, less than three miles from here, was the land - a patch of green that would fill the side of the slope.	The island they arrived on was uninhabited.	1
There, less than three miles from here, was the land - a patch of green that would fill the side of the slope.	They could not see the land for several miles, with only the edge of the sea.	2
I am the king's emissary to these wretched places, and to my Lord Sunderland's nearest relatives.	My Lord has angels, and I am one of them.	0
I am the king's emissary to these wretched places, and to my Lord Sunderland's nearest relatives.	My master sent me here last week.	1
I am the king's emissary to these wretched places, and to my Lord Sunderland's nearest relatives.	I do not take orders from my King.	2
I was indebted to you - or so I thought, he said.	He never felt that he owed you anything.	2
I was indebted to you - or so I thought, he said.	He owed you for the help you gave him when he was a penniless beggar.	1
I was indebted to you - or so I thought, he said.	He felt that he owed it to you.	0
I should have known better than to come so close to Jamaica at night.	I reached the vicinity of Jamaica late in the evening.	0
I should have known better than to come so close to Jamaica at night.	I traveled to Jamaica on a large ship.	1
I should have known better than to come so close to Jamaica at night.	My wife and I arrived in Jamaica on a sunny day.	2
Blood's thoughts were on these and other things as he lay in bed	Blood did not have a hallucination while lying in bed.	2
Blood's thoughts were on these and other things as he lay in bed	Blood was thinking deeply in his sleep.	0
Blood's thoughts were on these and other things as he lay in bed	Blood was reminiscing about the last time she saw her mother.	1
Yes, I will tell him.	All right, I'll tell you about it.	0
Yes, I will tell him.	I don't even say a word to you.	2
Yes, I will tell him.	I'm only telling you because you promised not to repeat this.	1
Oh, what can it do?	Another asks you which way to go.	0
Oh, what can it do?	He asks for his own and has no one to talk to.	2
Oh, what can it do?	He asks hurriedly and wants to know how to get it now.	1
I do not give the command of stones lightly.	Simply giving the King's command is not my custom.	1
I do not give the command of stones lightly.	I have given careful thought to the King's command.	0
I do not give the command of stones lightly.	I signed a contract to deliver the king's order without a second thought.	2
He felt that he would soon be back in the saddle.	He realized that he had all day to return to the mines.	2
He felt that he would soon be back in the saddle.	He felt the urgency of the situation.	0
He felt that he would soon be back in the saddle.	If he stayed in one place, he would be found.	1
And he would still be what he was and do what he did in the last three years, said the girl, but he said it with regret this time, no longer the rage he used to do.	He did not like that the man had killed so many men in the previous three years.	1
And he would still be what he was and do what he did in the last three years, said the girl, but he said it with regret this time, no longer the rage he used to do.	He spoke in admiration of the man's courage and character.	2
And he would still be what he was and do what he did in the last three years, said the girl, but he said it with regret this time, no longer the rage he used to do.	He uttered it in a voice of sadness.	0
I think it had something to do with the way she was dressed.	I suspect that others like you do.	0
I think it had something to do with the way she was dressed.	I've read about people like you, and their customs.	1
I think it had something to do with the way she was dressed.	I take it that it's not common among people like you.	2
The blink twisted his forehead.	A big smile filled his face	2
The blink twisted his forehead.	The girl felt pain in her stomach.	1
The blink twisted his forehead.	His face was a gloomy one.	0
The girl was staring at him with glowing eyes, but when she saw his sad face, with a severe frown, she changed her face.	Her countenance changed when she saw the man's face.	0
The girl was staring at him with glowing eyes, but when she saw his sad face, with a severe frown, she changed her face.	The girl's face lit up when she saw the darkness on the man's face.	2
The girl was staring at him with glowing eyes, but when she saw his sad face, with a severe frown, she changed her face.	The girl did not know if the man was angry with her.	1
He walked like a leaf, along the walls built during the war, and through the large doors into the courtyard.	Since the main doors were locked, he jumped over the wire into the courtyard	2
He walked like a leaf, along the walls built during the war, and through the large doors into the courtyard.	The sliding doors were the only entrance to the courtyard.	1
He walked like a leaf, along the walls built during the war, and through the large doors into the courtyard.	There were large doors leading into the courtyard.	0
Inducted into death, he no doubt spoke with contempt.	He thought that someone was going to be killed.	0
Inducted into death, he no doubt spoke with contempt.	He was the sheriff who had caught a thief.	1
Inducted into death, he no doubt spoke with contempt.	He whispered a way out of the country so as not to go to prison.	2
What I did in truth to bind them, was in conversation.	I couldn't come and lock them up.	0
What I did in truth to bind them, was in conversation.	As soon as I saw them, I arrested them.	2
What I did in truth to bind them, was in conversation.	I would not have forgiven myself if I had arrested them.	1
I've been looking for him for the past year.	I had been following him closely for a whole year without his knowledge.	1
I've been looking for him for the past year.	I've been following him for almost the whole weekend	2
I've been looking for him for the past year.	During the past year I have been following him.	0
Museums are not strong on catalogues or lists.	Museums do not need to be named.	1
Museums are not strong on catalogues or lists.	Museums are not interested in advertising brochures	0
Museums are not strong on catalogues or lists.	A stronghold in the Museum are the books with detailed descriptions of the objects.	2
Beijing's markets are one of the world's most exciting shopping destinations.	Beijing has its fascinating markets and shopping centers.	0
Beijing's markets are one of the world's most exciting shopping destinations.	The markets of Beijing are some of the most fascinating places in the world.	1
Beijing's markets are one of the world's most exciting shopping destinations.	Strict regulations have been put in place in Beijing prohibiting markets from being in the city.	2
A large bay on the western shore of Kungwakuri Bay makes a good anchorage, but the water and the beach may be polluted	Water and beaches are kept clean	2
A large bay on the western shore of Kungwakuri Bay makes a good anchorage, but the water and the beach may be polluted	The water and the beaches may be polluted.	0
A large bay on the western shore of Kungwakuri Bay makes a good anchorage, but the water and the beach may be polluted	Water polluted by the dumping of garbage.	1
The terraced houses are banks, and the street on which they are built has been nicknamed the Milla de Oro or Golden Mile	None of the towers on the Golden Mile are Banks.	2
The terraced houses are banks, and the street on which they are built has been nicknamed the Milla de Oro or Golden Mile	The tops of the houses on the Golden Mile are Banks.	0
The terraced houses are banks, and the street on which they are built has been nicknamed the Milla de Oro or Golden Mile	The upper floors of the Golden Mile houses a variety of shops, including banks	1
Naturally, therefore, the discovery in the Second World War began with the British Commonwealth Air TrainingPlan, using the safe skies of Canada to train pilots for combat.	Canada had safe skies.	0
Naturally, therefore, the discovery in the Second World War began with the British Commonwealth Air TrainingPlan, using the safe skies of Canada to train pilots for combat.	The skies over Canada were clear of air-to-air missiles.	1
Naturally, therefore, the discovery in the Second World War began with the British Commonwealth Air TrainingPlan, using the safe skies of Canada to train pilots for combat.	The Canadian skies were treacherous.	2
They remained patient and helpful, even though they knew that their beautiful beach was no longer theirs alone.	They're hurting and angry at everyone as they now share the beaches.	2
They remained patient and helpful, even though they knew that their beautiful beach was no longer theirs alone.	They are sharing the beaches with other people now.	0
They remained patient and helpful, even though they knew that their beautiful beach was no longer theirs alone.	They once owned 500 miles of coastline.	1
Kublai Khan founded his capital in 1279 on the shores of Beijing's Beihal Lake, where his treasures are still on display	Kublai Khan founded the capital of Taiwan.	2
Kublai Khan founded his capital in 1279 on the shores of Beijing's Beihal Lake, where his treasures are still on display	Kublai Khan with his fortune in Beijing	0
Kublai Khan founded his capital in 1279 on the shores of Beijing's Beihal Lake, where his treasures are still on display	Kublai Khan was a respected man	1
The prosperity of the Anglo-Saxon community led Protestant schools to accept their children, and educated Eastern European Jews prospered economically in Westmount while others emigrated and settled in Toronto.	Eastern European Jews live peacefully with their neighbors	2
The prosperity of the Anglo-Saxon community led Protestant schools to accept their children, and educated Eastern European Jews prospered economically in Westmount while others emigrated and settled in Toronto.	Jews are not wanted in all areas.	1
The prosperity of the Anglo-Saxon community led Protestant schools to accept their children, and educated Eastern European Jews prospered economically in Westmount while others emigrated and settled in Toronto.	The Jews were able to get along easily with the Anglo-Saxons.	0
If possible, learn about the relationship first.	Don't get into a relationship early; it will ruin the fun later.	2
If possible, learn about the relationship first.	Try to understand the relationship first, if you can.	0
If possible, learn about the relationship first.	You will find the lesson easier if you understand the purpose of the book.	1
The burial chamber, 27 m (~88 ft) from the ground, made of marble and 1,200 m (~13,000 ft) wide	He was buried in a tomb more than twenty meters deep.	0
The burial chamber, 27 m (~88 ft) from the ground, made of marble and 1,200 m (~13,000 ft) wide	He was a prominent public figure	1
The burial chamber, 27 m (~88 ft) from the ground, made of marble and 1,200 m (~13,000 ft) wide	His tomb covers are made of wood.	2
Remember to hide all your portable items from the monkey.	Hide your belongings from the monkey.	0
Remember to hide all your portable items from the monkey.	Monkeys are attracted to many things, including your possessions	1
Remember to hide all your portable items from the monkey.	You may not hide your belongings from a monkey.	2
Fourteen centuries before the palace of Estei was built, Milreu was the mansion of a renowned florist.	Milreu was ten miles away from the others.	1
Fourteen centuries before the palace of Estei was built, Milreu was the mansion of a renowned florist.	Milreu has been outside in the flowers	0
Fourteen centuries before the palace of Estei was built, Milreu was the mansion of a renowned florist.	Milreu was located in the center of the town.	2
The temperature of the ocean is usually between 18 and 24 degrees Celsius (64 and 75 degrees Fahrenheit)	The temperature of the ocean fluctuates constantly, but it never freezes to the point of freezing	0
The temperature of the ocean is usually between 18 and 24 degrees Celsius (64 and 75 degrees Fahrenheit)	The temperature of the sea stays the same throughout the year.	2
The temperature of the ocean is usually between 18 and 24 degrees Celsius (64 and 75 degrees Fahrenheit)	Check the temperature during daylight hours when it is warm	1
Kinnabalu National Park is one of the three remaining conservation areas in the province.	Knabalu National Park is home to ten elephants and six rhinos.	1
Kinnabalu National Park is one of the three remaining conservation areas in the province.	The province has protected areas, including Kinabalu National Park.	0
Kinnabalu National Park is one of the three remaining conservation areas in the province.	At three conservation areas in the district.	2
You will see videos of Anne's heroine and of Amsterdam as it was captured by photographs and statues of the time	You won't see any pictures.	2
You will see videos of Anne's heroine and of Amsterdam as it was captured by photographs and statues of the time	You will see pictures.	0
You will see videos of Anne's heroine and of Amsterdam as it was captured by photographs and statues of the time	You will see some of the original photographs.	1
Treasure Beach is the only resort to be mentioned, with three hotels perched on sandy beaches	There are few hotels to choose from for visitors to Treasure Beach.	0
Treasure Beach is the only resort to be mentioned, with three hotels perched on sandy beaches	There is one four-star hotel available to tourists visiting Treasure Beach.	1
Treasure Beach is the only resort to be mentioned, with three hotels perched on sandy beaches	Treasure Beach is another place to visit in the area.	2
Summer brings warmth (but not heat) and warmer seas, which are ideal for scuba diving, snorkeling, and other water sports.	It stays at 100 degrees Fahrenheit or higher in the summer.	2
Summer brings warmth (but not heat) and warmer seas, which are ideal for scuba diving, snorkeling, and other water sports.	It is usually 75 in the summer.	1
Summer brings warmth (but not heat) and warmer seas, which are ideal for scuba diving, snorkeling, and other water sports.	It's warm in the summer.	0
One of the pools is rented by tourists who toss coins in the hope that one will hit the head of the cabin, hoping for good luck.	People don't throw money away because it brings a curse.	2
One of the pools is rented by tourists who toss coins in the hope that one will hit the head of the cabin, hoping for good luck.	People throw gold coins into the water wherever it is written that you should not throw them.	1
One of the pools is rented by tourists who toss coins in the hope that one will hit the head of the cabin, hoping for good luck.	People toss a gold coin into the water.	0
The town of Nafplio is a nice place to visit if you are on an afternoon sightseeing tour.	Nafplio has beautiful scenery.	1
The town of Nafplio is a nice place to visit if you are on an afternoon sightseeing tour.	Nafplio is a bad place.	2
The town of Nafplio is a nice place to visit if you are on an afternoon sightseeing tour.	Nafplio is a beautiful place	0
On the Prinsengracht, Otto Frank and his family hid in the wreckage of their business for two years before they were found.	Otto Frank was arrested on the second day.	2
On the Prinsengracht, Otto Frank and his family hid in the wreckage of their business for two years before they were found.	Otto Frank went into hiding for more than 25 months.	0
On the Prinsengracht, Otto Frank and his family hid in the wreckage of their business for two years before they were found.	Otto Frank went into hiding until the Nazis found him.	1
Most state or local governments also have audits of financial accounts in place.	The local authority then makes its own rules.	1
Most state or local governments also have audits of financial accounts in place.	Local leadership is not to be expected.	2
Most state or local governments also have audits of financial accounts in place.	There are other accounting audits that are handled in the local administration.	0
The Data Protection Committee holds between eight and 12 meetings per month.	The security team usually holds nine meetings a month.	1
The Data Protection Committee holds between eight and 12 meetings per month.	The safety committee meets once every other day of the month.	2
The Data Protection Committee holds between eight and 12 meetings per month.	The safety committee holds several meetings a year.	0
Yet, the original artistic design may already have been completed.	An ingenious design had a beginning.	0
Yet, the original artistic design may already have been completed.	An elaborate preparation took place during the final stage.	2
Yet, the original artistic design may already have been completed.	Without a pre-determined starting time, a skilled preparation has a high probability of failing in the later stages.	1
